review,label,recommendation,score
这个产品非常好，质量很棒！,Positive Review,Keep it up,0.91
质量太差了，完全不值这个价格！,Negative Review,Needs Improvement,0.02
快递很快，东西也不错，会再次购买！,Positive Review,Keep it up,0.93
东西收到了，还行吧，就这样,Neutral Review,Could be better,0.58
客服态度恶劣，非常失望！,Negative Review,Needs Improvement,0.0
我非常喜欢这个产品，强烈推荐！,Positive Review,Keep it up,0.79
这个产品太烂， 不划算！,Negative Review,Needs Improvement,0.08
这个东西还可以，没那么差也是，刚刚好而已,Negative Review,Needs Improvement,0.18
我推荐这个衣服！， 这个衣服太划算,Positive Review,Keep it up,0.72
东西非常快坏了！没有用到两个月就坏！,Negative Review,Needs Improvement,0.03
SUMMARY,"Positive: 4, Negative: 5, Neutral: 1",,
